index,price_changes
0,1
1,2
3,1
5,2
8,2
9,2
11,1
15,2
27,0
34,2
38,0
43,2
46,2
51,2
53,1
57,0
58,1
61,0
62,0
65,0
66,0
67,0
70,0
71,0
72,0
74,1
77,0
79,1
81,1
82,0
84,2
85,1
86,0
88,2
90,2
91,0
92,0
94,1
98,1
99,1
100,1
101,0
103,0
106,0
109,0
110,0
112,1
114,1
115,0
116,1
117,1
119,1
121,2
122,1
124,2
126,1
128,1
131,1
133,2
137,1
139,1
141,2
143,1
145,1
148,1
149,1
151,1
152,1
154,1
156,1
157,1
161,1
163,1
173,0
174,0
176,1
177,1
179,1
180,1
183,1
184,1
185,1
187,1
188,1
192,1
195,1
196,1
199,1
220,1
225,1
249,1
252,1
254,1
255,1
257,1
259,1
268,1
271,1
274,1
278,1
285,1
289,0
294,1
297,0
304,1
307,1
308,2
314,2
316,1
321,1
327,1
332,1
341,1
346,1
348,1
351,1
362,0
363,0
365,0
366,0
367,0
369,0
370,2
371,2
373,2
374,2
376,2
377,1
378,1
379,1
381,2
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
394,2
396,1
398,2
401,1
403,0
406,1
408,0
410,1
413,1
416,1
418,1
420,1
424,0
425,1
426,1
428,1
432,0
433,1
434,2
435,1
437,2
438,1
